Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcBXEL	2475	403	6	19	0	2047	144	0	0	0
bcAAOT	2472	537	17	18	0	1900	133	0	0	0
bcBUFX	2472	435	1	28	0	2008	150	0	0	0
bcAKYD	2470	457	16	36	0	1961	114	0	0	0
bcAGHE	2464	864	11	10	0	1579	179	0	0	0
bcASOK	2458	1138	18	93	1	1208	269	0	0	0
bcAVHQ	2445	491	2	18	0	1934	149	0	0	0
bcBPRI	2442	408	18	9	0	2007	129	0	0	0
bcBTUJ	2442	369	4	13	0	2056	117	0	0	0
bcAECC	2441	477	33	20	0	1911	138	0	0	0
bcBHPX	2428	439	6	22	0	1961	155	0	0	0
bcAFLR	2425	419	7	20	1	1978	145	0	0	0
bcBNCU	2415	455	6	20	0	1934	138	0	0	0
bcBXIT	2414	522	3	41	0	1848	134	0	0	0
bcAAGM	2410	330	5	30	1	2044	128	0	0	0
bcAGAR	2408	478	2	9	0	1919	147	0	0	0
bcBHJR	2407	416	11	19	1	1960	125	0	0	0
bcAEFJ	2404	551	5	4	1	1843	161	0	0	0
bcAHUY	2401	402	1	12	0	1986	138	0	0	0
bcBYGH	2394	551	12	21	0	1810	182	0	0	0
bcBQMO	2393	457	14	14	0	1908	170	0	0	0
bcBIDF	2392	381	4	12	0	1995	122	0	0	0
bcAYPR	2390	469	5	12	0	1904	133	0	0	0
bcAZRW	2387	380	6	16	0	1985	146	0	0	0
bcBPNJ	2386	516	14	22	5	1829	144	0	0	0
bcAPMR	2369	394	7	19	0	1949	123	0	0	0
bcAPKN	2368	403	2	17	0	1946	117	0	0	0
bcATIL	2341	444	4	20	1	1872	127	0	0	0
bcBICQ	2339	454	6	24	0	1855	134	0	0	0
