Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcBDTB	949	428	1	14	2	504	326	0	0	0
bcAQGP	938	71	2	5	0	860	58	0	0	0
bcBQFE	931	549	6	23	3	350	450	0	0	0
bcAWUO	930	470	6	24	0	430	359	0	0	0
bcARRL	920	126	3	4	0	787	112	0	0	0
bcAEVB	908	452	10	13	0	433	377	0	0	0
bcBOGD	903	126	3	9	0	765	103	0	0	0
bcAVXB	901	316	4	13	0	568	249	0	0	0
bcAUTC	896	139	3	5	0	749	120	0	0	0
bcANCL	895	146	3	4	0	742	113	0	0	0
bcBUKW	894	427	1	7	1	458	249	0	0	0
bcAOPF	894	145	0	9	0	740	112	0	0	0
bcBYXK	893	147	3	8	0	735	116	0	0	0
bcBAEP	892	108	4	19	0	761	94	0	0	0
bcAPAQ	892	511	18	20	0	343	419	0	0	0
bcBUJV	888	253	3	4	0	628	156	0	0	0
bcBDZK	881	128	3	8	0	742	103	0	0	0
bcBMSP	880	454	9	13	0	404	342	0	0	0
bcAHHD	877	416	3	10	0	448	292	0	0	0
bcAVYB	869	416	5	15	0	433	362	0	0	0
bcBTTY	869	404	11	12	1	441	301	0	0	0
bcALXC	866	102	2	8	0	754	88	0	0	0
bcBKAZ	865	23	0	6	0	836	21	0	0	0
bcBRHE	863	109	1	6	1	746	89	0	0	0
bcBYYJ	861	121	2	7	0	731	90	0	0	0
bcBUYH	859	352	2	1	0	504	243	0	0	0
bcBSFN	858	315	3	18	1	521	250	0	0	0
bcAZVF	848	116	1	9	0	722	97	0	0	0
bcAXHV	846	424	6	9	0	407	311	0	0	0
bcAIAV	843	438	3	4	0	398	260	0	0	0
bcBTKG	841	141	2	9	0	689	118	0	0	0
bcALSA	840	93	3	2	0	742	79	0	0	0
bcAORT	838	150	0	7	1	680	100	0	0	0
bcBJVO	838	416	7	9	0	406	298	0	0	0
bcAKVP	832	127	1	5	0	699	92	0	0	0
bcBVPP	827	26	1	2	0	798	26	0	0	0
bcBKYW	827	447	3	15	0	362	327	0	0	0
bcAPDM	827	33	4	1	1	788	32	0	0	0
bcCAIK	824	60	2	7	0	755	40	0	0	0
bcBPBY	814	290	1	12	1	510	177	0	0	0
bcAZPD	813	145	3	4	0	661	112	0	0	0
bcAERV	809	15	2	8	0	784	18	0	0	0
bcBPMI	809	126	1	9	0	673	96	0	0	0
bcAUXV	808	136	2	4	1	665	111	0	0	0
bcBSPT	802	164	4	6	0	628	105	0	0	0
bcAECM	801	110	2	10	0	679	88	0	0	0
bcAEUD	799	409	3	5	0	382	321	0	0	0
bcBTME	798	30	1	5	0	762	24	0	0	0
bcAXJT	798	288	2	11	0	497	216	0	0	0
bcBGQI	795	101	1	4	1	688	86	0	0	0
bcBVRO	795	435	1	8	0	351	323	0	0	0
bcBZBH	794	127	3	5	0	659	102	0	0	0
bcACOA	790	119	5	6	1	659	95	0	0	0
bcAXBA	788	414	2	2	0	370	244	0	0	0
bcAABW	783	21	0	3	0	759	17	0	0	0
bcBBWR	780	84	1	7	0	688	69	0	0	0
bcBLVD	780	33	3	4	0	740	29	0	0	0
bcBASV	780	50	1	2	0	727	37	0	0	0
bcAFZS	779	72	1	0	0	706	57	0	0	0
bcBVBM	776	258	3	9	0	506	186	0	0	0
bcBAJX	771	95	3	9	0	664	76	0	0	0
bcAZRB	771	128	7	5	0	631	100	0	0	0
bcBTID	769	139	1	3	0	626	105	0	0	0
bcBOEL	769	125	1	5	0	638	94	0	0	0
bcBFXB	768	114	1	5	0	648	88	0	0	0
bcAPNB	768	121	4	5	0	638	99	0	0	0
bcAWSR	767	322	4	29	0	412	224	0	0	0
bcAORI	766	218	2	6	0	540	142	0	0	0
bcBRUT	763	405	8	5	1	344	316	0	0	0
bcAXME	761	292	0	12	1	456	219	0	0	0
bcAEER	755	121	3	6	1	624	99	0	0	0
bcBLVV	754	358	4	7	0	385	268	0	0	0
bcBLCA	753	123	3	3	0	624	106	0	0	0
