Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcAXDI	4264	2711	21	88	0	1444	2165	0	0	0
bcBQQB	3291	994	21	44	1	2231	600	0	0	0
bcBEBE	2508	859	3	17	0	1629	516	0	0	0
bcAZUY	2269	58	4	14	1	2192	49	0	0	0
bcABXO	2150	1039	12	34	1	1064	770	0	0	0
bcBAEA	2146	97	1	12	0	2036	77	0	0	0
bcBWQH	2090	1108	16	34	0	932	867	0	0	0
bcBNMB	2062	895	4	29	2	1132	398	0	0	0
bcAQVS	1920	925	10	31	0	954	634	0	0	0
bcBSQE	1912	750	3	32	0	1127	452	0	0	0
bcBFTV	1805	931	2	17	2	853	595	0	0	0
bcBKCI	1783	861	7	29	0	886	623	0	0	0
bcAPKN	1622	929	9	13	0	671	627	0	0	0
bcBJIQ	1537	234	4	10	0	1289	177	0	0	0
bcAFNL	1483	354	0	8	0	1121	234	0	0	0
bcCADX	1450	799	4	10	0	637	463	0	0	0
bcAZCO	1448	477	3	18	1	949	337	0	0	0
bcBIFI	1421	71	0	6	0	1344	66	0	0	0
bcAWVM	1398	516	6	7	0	869	330	0	0	0
bcBVTJ	1361	118	2	10	1	1230	93	0	0	0
bcARKQ	1341	623	11	26	1	680	447	0	0	0
bcAAYE	1339	718	12	15	0	594	557	0	0	0
bcBNHE	1339	638	5	19	1	676	521	0	0	0
bcBQMR	1314	645	4	33	1	631	500	0	0	0
bcBAWV	1294	693	3	17	3	578	513	0	0	0
bcAEXB	1290	373	1	18	1	897	279	0	0	0
bcBTWQ	1283	73	1	8	0	1201	60	0	0	0
bcABSU	1267	203	1	6	0	1057	142	0	0	0
bcAWRI	1264	462	4	21	0	777	344	0	0	0
bcAVJE	1258	609	6	11	1	631	364	0	0	0
bcBFZP	1255	59	2	6	0	1188	48	0	0	0
bcAXMR	1254	432	7	11	2	802	301	0	0	0
bcABSQ	1250	692	4	14	0	540	513	0	0	0
bcBSJB	1243	663	10	21	0	549	510	0	0	0
bcBAUB	1238	713	13	32	1	479	523	0	0	0
bcBDWI	1226	158	7	5	0	1056	124	0	0	0
bcBINE	1217	507	1	17	1	691	296	0	0	0
bcAUHK	1212	410	6	11	0	785	264	0	0	0
bcBSBK	1206	86	3	7	0	1110	74	0	0	0
bcABWF	1197	205	3	11	0	978	143	0	0	0
bcAPKE	1195	550	10	18	1	616	417	0	0	0
bcAPGN	1192	517	5	17	1	652	383	0	0	0
bcAAEH	1185	486	3	18	1	677	285	0	0	0
bcBYFA	1172	369	3	4	0	796	253	0	0	0
bcANYE	1166	644	7	18	0	497	480	0	0	0
bcAYSW	1159	637	8	12	0	502	449	0	0	0
bcBUDS	1155	66	2	5	0	1082	53	0	0	0
bcBSCJ	1143	50	2	2	0	1089	45	0	0	0
bcAPMX	1125	357	3	9	1	755	270	0	0	0
bcBXFB	1123	588	5	14	1	515	444	0	0	0
bcAPOG	1119	545	3	19	1	551	399	0	0	0
bcAGGJ	1109	33	8	1	0	1067	35	0	0	0
bcBIGW	1105	411	0	17	1	676	287	0	0	0
bcBFWB	1104	345	4	19	0	736	217	0	0	0
bcBNBZ	1099	159	2	17	1	920	115	0	0	0
bcASQS	1095	523	3	17	1	551	332	0	0	0
bcBAHQ	1089	168	0	9	1	911	127	0	0	0
bcARUL	1081	355	3	10	3	710	253	0	0	0
bcALWU	1054	551	5	23	0	475	481	0	0	0
bcBUCO	1030	181	2	13	0	834	137	0	0	0
bcBNFK	1027	507	3	20	1	496	389	0	0	0
bcAGZF	1024	507	6	15	1	495	398	0	0	0
bcBVUQ	1021	48	0	6	0	967	37	0	0	0
bcARQL	1004	478	3	11	0	512	294	0	0	0
bcBPNX	1004	126	3	5	0	870	104	0	0	0
bcBOPB	990	67	3	10	0	910	54	0	0	0
bcATRH	979	337	1	2	2	637	252	0	0	0
bcAEOV	972	96	2	5	0	869	90	0	0	0
bcAKWB	966	503	9	10	0	444	329	0	0	0
bcBAJK	961	134	4	13	0	810	95	0	0	0
bcBAIP	958	131	2	12	0	813	98	0	0	0
bcAJYN	951	53	1	2	0	895	37	0	0	0
