Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcBZWX	2407	40	2	14	2	2349	40	0	0	0
bcAZIC	2396	131	1	19	2	2243	108	0	0	0
bcBNRU	2394	827	10	67	5	1485	671	0	0	0
bcBUQN	2384	905	9	59	5	1406	662	0	0	0
bcBCIV	2382	42	5	10	1	2324	43	0	0	0
bcBMQM	2376	52	1	16	2	2305	47	0	0	0
bcBSGQ	2375	62	6	16	1	2290	54	0	0	0
bcACAX	2373	245	6	20	1	2101	195	0	0	0
bcBMZF	2351	178	8	24	1	2140	150	0	0	0
bcBOFD	2338	64	7	14	0	2253	66	0	0	0
bcBTIL	2331	895	10	68	3	1355	665	0	0	0
bcBTYB	2321	729	11	128	2	1451	628	0	0	0
bcBMCN	2318	153	5	28	2	2130	139	0	0	0
bcAMTG	2308	63	1	5	1	2238	53	0	0	0
bcAIDL	2308	61	1	6	0	2240	54	0	0	0
bcBVQX	2302	37	0	7	0	2258	34	0	0	0
bcBKZS	2301	58	3	20	0	2220	56	0	0	0
bcAREC	2273	50	5	18	1	2199	56	0	0	0
bcAMFY	2264	821	6	75	2	1360	604	0	0	0
bcBYPE	2248	148	2	29	0	2069	134	0	0	0
bcAQMV	2241	40	1	13	1	2186	34	0	0	0
bcBRJO	2226	393	9	45	1	1778	305	0	0	0
bcBDEM	2220	166	9	19	2	2024	152	0	0	0
bcASIL	2187	51	3	13	0	2120	44	0	0	0
bcCAIS	2172	58	1	11	3	2099	49	0	0	0
bcAOZX	2172	44	1	11	1	2115	40	0	0	0
bcBSQM	2163	53	2	17	0	2091	48	0	0	0
bcBQOL	2154	850	6	35	2	1261	614	0	0	0
bcAFCI	2153	240	6	39	1	1867	199	0	0	0
bcAWUA	2150	772	9	62	3	1304	660	0	0	0
bcAOOK	2146	705	11	52	6	1372	601	0	0	0
bcAGAH	2145	746	7	59	1	1332	568	0	0	0
bcBRHG	2145	41	3	11	0	2090	41	0	0	0
bcCAAW	2145	698	6	57	5	1379	628	0	0	0
bcBWHS	2139	34	2	13	0	2090	31	0	0	0
bcBYCK	2136	94	6	11	1	2024	89	0	0	0
bcBGRA	2132	47	2	7	1	2075	41	0	0	0
bcBEEG	2119	360	3	23	2	1731	288	0	0	0
bcBBSH	2117	30	4	10	1	2072	31	0	0	0
bcAFUT	2108	116	5	26	2	1959	103	0	0	0
bcBFIH	2086	98	3	13	0	1972	80	0	0	0
bcAUUD	2084	212	3	35	1	1833	185	0	0	0
bcARLF	2074	331	4	38	4	1697	269	0	0	0
bcAAYZ	2058	41	5	8	1	2003	42	0	0	0
bcBJEF	2056	707	1	50	2	1296	553	0	0	0
bcARHO	2056	642	6	83	3	1322	482	0	0	0
bcARWE	2054	64	3	11	0	1976	61	0	0	0
bcACFX	2029	607	7	50	1	1364	478	0	0	0
bcAAFZ	2021	332	8	56	0	1625	270	0	0	0
bcBBIS	2010	775	10	49	9	1167	651	0	0	0
bcBTLN	2004	38	3	6	0	1957	39	0	0	0
bcBICU	1992	258	2	33	1	1698	205	0	0	0
bcBCKU	1992	37	4	10	0	1941	36	0	0	0
bcALBR	1987	649	5	62	7	1264	456	0	0	0
bcAWUN	1974	30	0	7	1	1936	27	0	0	0
bcAPOK	1972	781	4	51	1	1135	558	0	0	0
bcBAHH	1963	216	4	30	2	1711	183	0	0	0
bcBEDN	1961	89	1	10	0	1861	75	0	0	0
bcAXOX	1948	113	2	19	1	1813	100	0	0	0
bcABXC	1944	44	0	7	0	1893	36	0	0	0
bcAIBU	1938	59	3	14	0	1862	54	0	0	0
bcAQKE	1938	628	8	52	6	1244	501	0	0	0
bcAZTV	1918	205	0	26	1	1686	171	0	0	0
bcBUKK	1915	68	3	13	0	1831	59	0	0	0
bcAKEM	1913	361	5	56	1	1490	310	0	0	0
bcBNGZ	1912	77	1	13	1	1820	72	0	0	0
bcACBP	1910	38	3	8	0	1861	33	0	0	0
bcAZIG	1904	123	0	16	3	1762	101	0	0	0
bcBSPS	1902	38	2	14	0	1848	31	0	0	0
bcANCF	1900	51	1	8	0	1840	44	0	0	0
bcBVBE	1896	704	11	58	6	1117	536	0	0	0
bcAOAY	1886	44	2	16	0	1824	41	0	0	0
bcAVYO	1884	25	7	5	0	1847	29	0	0	0
bcATWE	1881	37	3	5	0	1836	26	0	0	0
bcCBSG	1881	30	2	4	1	1844	30	0	0	0
bcBNQZ	1880	37	1	9	0	1833	32	0	0	0
bcASVF	1866	32	3	4	0	1827	32	0	0	0
bcBZXL	1861	160	3	23	0	1675	139	0	0	0
bcADEB	1858	30	0	9	0	1819	24	0	0	0
bcAGWV	1854	231	8	12	0	1603	188	0	0	0
bcCCEU	1852	54	4	12	0	1782	50	0	0	0
bcASXD	1851	107	2	13	0	1729	88	0	0	0
bcBUVE	1837	38	4	10	0	1785	38	0	0	0
bcBADZ	1832	604	9	38	8	1173	445	0	0	0
bcBJWS	1829	695	2	56	1	1075	518	0	0	0
bcAVSK	1823	69	1	7	1	1745	57	0	0	0
bcACGZ	1815	34	1	7	0	1773	33	0	0	0
bcBAHK	1810	37	4	15	0	1754	38	0	0	0
bcBKFE	1807	34	2	7	0	1764	33	0	0	0
bcAFRD	1804	652	3	45	0	1104	500	0	0	0
bcASBR	1796	147	3	11	0	1635	124	0	0	0
bcBDJW	1791	46	4	11	1	1729	41	0	0	0
bcALQE	1791	662	6	28	1	1094	520	0	0	0
bcARQQ	1786	488	10	81	3	1204	451	0	0	0
bcAOAA	1781	32	2	8	0	1739	30	0	0	0
bcAXHA	1782	84	4	18	1	1675	72	0	0	0
bcBAHY	1772	86	2	16	0	1668	60	0	0	0
bcBGGX	1764	127	2	9	0	1626	89	0	0	0
bcBWQB	1751	221	6	22	1	1501	173	0	0	0
bcBJQM	1732	29	4	10	1	1688	30	0	0	0
bcABTI	1725	41	2	9	0	1673	34	0	0	0
bcBUOB	1726	615	6	33	9	1063	454	0	0	0
bcBYQH	1723	39	2	6	0	1676	37	0	0	0
bcBLWB	1718	567	4	82	2	1063	504	0	0	0
bcBNKL	1713	39	0	9	0	1665	34	0	0	0
bcBCDD	1704	67	5	13	0	1619	63	0	0	0
bcACPS	1703	552	6	44	7	1094	422	0	0	0
bcBMZV	1695	595	8	91	6	995	472	0	0	0
bcAQKD	1691	572	8	77	3	1031	483	0	0	0
bcBCMB	1690	28	2	11	0	1649	28	0	0	0
bcAQPU	1688	22	3	8	0	1655	23	0	0	0
bcAVTN	1664	28	4	6	0	1626	31	0	0	0
bcAJMF	1662	521	13	55	0	1073	405	0	0	0
bcBTUW	1659	471	7	51	2	1128	399	0	0	0
bcBFPF	1656	30	1	7	0	1618	28	0	0	0
bcBQEW	1643	18	3	5	0	1617	21	0	0	0
bcBKLH	1641	23	2	10	0	1606	21	0	0	0
bcADWC	1640	562	8	70	6	994	467	0	0	0
bcBUTG	1639	492	10	109	7	1021	409	0	0	0
bcABFM	1639	80	0	14	1	1544	65	0	0	0
bcBQDZ	1636	34	1	9	0	1592	31	0	0	0
bcCADQ	1631	43	2	12	0	1574	36	0	0	0
bcBLDP	1627	21	3	6	0	1597	24	0	0	0
bcBHIU	1620	530	8	37	6	1039	433	0	0	0
bcAMMI	1613	20	2	6	0	1585	21	0	0	0
bcASVT	1612	100	3	14	0	1495	95	0	0	0
bcATQK	1613	62	2	18	1	1530	52	0	0	0
bcASFE	1611	27	8	8	0	1568	33	0	0	0
bcADEA	1609	537	3	75	2	992	438	0	0	0
bcBNRW	1607	100	4	28	0	1475	91	0	0	0
bcAEYS	1606	239	2	17	1	1347	178	0	0	0
bcAXJO	1602	81	1	11	1	1508	68	0	0	0
bcCBHH	1598	59	6	7	0	1526	59	0	0	0
bcARCP	1595	633	3	27	1	931	445	0	0	0
bcATQL	1593	35	4	9	0	1545	33	0	0	0
bcAHRK	1587	87	3	7	0	1490	75	0	0	0
bcBNLW	1584	123	4	15	0	1442	106	0	0	0
bcALFF	1586	597	4	37	4	944	435	0	0	0
bcAJIT	1583	33	2	5	0	1543	33	0	0	0
bcBAFQ	1582	482	13	92	2	993	397	0	0	0
bcBASV	1582	35	0	9	0	1538	33	0	0	0
bcAQGE	1571	486	8	37	5	1035	383	0	0	0
bcBJOO	1571	104	4	15	0	1448	91	0	0	0
bcACTS	1563	529	7	85	2	940	448	0	0	0
bcBKCC	1560	551	12	38	4	955	386	0	0	0
bcBHHE	1557	36	2	6	0	1513	32	0	0	0
bcBJZE	1556	648	5	34	1	868	477	0	0	0
bcBEAK	1551	485	11	71	5	979	393	0	0	0
bcACSV	1549	44	3	7	0	1495	41	0	0	0
bcBUJI	1548	163	2	25	1	1357	137	0	0	0
bcAPSN	1544	494	7	74	6	963	394	0	0	0
bcBXBG	1542	23	3	9	0	1507	25	0	0	0
bcADTM	1538	14	2	3	0	1519	16	0	0	0
bcBNUX	1534	505	4	61	3	961	420	0	0	0
bcBNYM	1531	105	0	7	0	1419	93	0	0	0
bcARFJ	1527	478	10	55	1	983	376	0	0	0
bcBNEI	1526	279	10	36	1	1200	204	0	0	0
bcAUYS	1525	25	1	3	0	1496	22	0	0	0
bcBPRU	1520	291	8	60	5	1156	245	0	0	0
bcBQYZ	1521	54	3	10	2	1452	44	0	0	0
bcBIXI	1518	26	3	2	0	1487	23	0	0	0
bcBSNT	1515	498	4	81	1	931	424	0	0	0
bcBAIT	1510	566	6	49	0	889	422	0	0	0
bcANLN	1509	247	6	19	1	1236	219	0	0	0
bcAOSS	1509	128	7	17	0	1357	108	0	0	0
bcAYAP	1508	37	4	8	0	1459	39	0	0	0
bcBVPU	1505	576	6	20	4	899	406	0	0	0
bcALCT	1500	31	1	1	0	1467	26	0	0	0
bcARQK	1494	396	7	61	6	1024	349	0	0	0
bcBMYC	1494	470	6	79	2	937	343	0	0	0
bcABEC	1492	508	2	73	2	907	406	0	0	0
bcAZTZ	1487	21	1	8	0	1457	21	0	0	0
bcBVSA	1482	472	5	53	2	950	397	0	0	0
bcAOQL	1479	145	3	19	0	1312	112	0	0	0
bcADWM	1473	208	5	21	1	1238	167	0	0	0
bcAXSY	1469	522	3	29	0	915	368	0	0	0
bcBVXD	1467	421	9	25	1	1011	323	0	0	0
bcBOQT	1464	31	4	8	0	1421	34	0	0	0
bcBQDX	1462	33	2	4	0	1423	31	0	0	0
bcBHRW	1459	252	5	29	0	1173	209	0	0	0
bcBWIN	1459	541	8	48	2	860	424	0	0	0
bcAGZB	1458	469	7	11	3	968	332	0	0	0
bcAVYP	1452	35	3	11	1	1402	32	0	0	0
bcANDV	1450	537	11	47	1	854	414	0	0	0
bcAECU	1435	30	4	9	1	1391	30	0	0	0
bcAJTU	1429	376	5	69	1	978	322	0	0	0
bcALTM	1421	18	1	6	0	1396	17	0	0	0
bcBIUL	1419	16	2	15	0	1386	17	0	0	0
bcBAAW	1415	570	4	89	1	751	469	0	0	0
bcAFPT	1414	459	7	39	0	909	356	0	0	0
bcBNNE	1415	449	13	49	3	901	343	0	0	0
bcCCGJ	1413	35	2	9	0	1367	33	0	0	0
bcBFXS	1402	462	4	62	4	870	352	0	0	0
bcAXZG	1397	33	2	6	0	1356	33	0	0	0
bcBQOT	1397	25	0	1	1	1370	24	0	0	0
bcBHEI	1393	485	6	58	3	841	386	0	0	0
bcAFFS	1387	112	2	19	0	1254	87	0	0	0
bcAKRI	1384	23	2	6	0	1353	23	0	0	0
bcAPVQ	1378	44	1	6	1	1326	39	0	0	0
bcAIRA	1371	100	2	9	0	1260	81	0	0	0
bcAZEX	1371	29	2	7	0	1333	28	0	0	0
bcATJE	1371	505	4	37	4	821	368	0	0	0
bcACIN	1366	473	4	43	2	844	348	0	0	0
bcAXIN	1364	488	11	69	1	795	392	0	0	0
bcBFRH	1364	263	3	26	2	1070	239	0	0	0
bcARSC	1362	81	0	10	2	1269	62	0	0	0
bcARSX	1360	104	2	12	0	1242	96	0	0	0
bcANMS	1348	8	3	4	0	1333	11	0	0	0
bcASCK	1345	458	7	79	3	798	387	0	0	0
bcAUNW	1345	109	1	23	0	1212	84	0	0	0
bcBKJV	1344	33	0	13	0	1298	31	0	0	0
bcANIU	1340	468	5	35	2	830	380	0	0	0
bcAZLL	1339	24	0	5	0	1310	24	0	0	0
bcBWHU	1337	513	11	56	4	753	434	0	0	0
bcARGP	1335	398	8	75	7	847	329	0	0	0
bcAZPQ	1332	445	5	24	1	857	331	0	0	0
bcAUNT	1328	22	2	6	0	1298	23	0	0	0
bcAMPK	1328	517	2	33	3	773	370	0	0	0
bcBIZN	1315	409	7	67	4	828	351	0	0	0
bcBTVP	1307	276	3	22	8	998	198	0	0	0
bcAHID	1299	470	2	24	1	802	377	0	0	0
bcAZPP	1297	481	0	50	2	764	357	0	0	0
bcCAAQ	1297	447	2	28	5	815	346	0	0	0
bcBIEZ	1296	404	8	42	1	841	323	0	0	0
bcAWQC	1292	364	9	68	3	848	305	0	0	0
bcBHTJ	1285	369	10	54	0	852	309	0	0	0
bcBYAZ	1275	160	0	35	1	1079	127	0	0	0
bcBPLX	1275	429	7	26	1	812	334	0	0	0
bcBJNN	1267	498	5	31	0	733	396	0	0	0
bcAISA	1265	400	8	19	1	837	285	0	0	0
bcBASR	1264	509	3	23	5	724	354	0	0	0
bcAIOH	1259	230	1	19	1	1008	190	0	0	0
bcAPRP	1257	395	4	65	0	793	327	0	0	0
bcASSM	1255	424	5	56	2	768	320	0	0	0
bcBLZV	1254	38	3	6	1	1206	37	0	0	0
bcBYAH	1247	415	3	24	0	805	303	0	0	0
bcBMDL	1246	148	5	17	2	1074	118	0	0	0
bcAYWA	1238	556	4	25	0	653	422	0	0	0
bcAIGY	1237	408	6	25	5	793	312	0	0	0
bcBNCC	1230	382	8	54	4	782	317	0	0	0
bcAHWJ	1228	11	0	6	1	1210	10	0	0	0
bcADQP	1227	29	0	4	0	1194	28	0	0	0
bcAOXS	1221	297	5	35	2	882	247	0	0	0
bcAGXG	1217	37	1	6	0	1173	35	0	0	0
bcAYMV	1213	364	4	26	2	817	275	0	0	0
bcALRZ	1212	448	9	29	7	719	349	0	0	0
bcBHUT	1207	390	10	30	5	772	324	0	0	0
bcAQSP	1204	213	7	30	5	949	184	0	0	0
bcAHZR	1203	448	5	36	2	712	334	0	0	0
bcATUV	1202	500	6	34	1	661	418	0	0	0
bcAWTK	1200	431	5	34	7	723	334	0	0	0
bcAJEI	1200	393	0	63	2	742	318	0	0	0
bcBPGP	1198	41	2	14	0	1141	29	0	0	0
bcBCWO	1198	69	1	7	1	1120	56	0	0	0
bcBAAG	1196	355	6	18	1	816	273	0	0	0
bcALCH	1196	28	4	6	0	1158	30	0	0	0
bcBFOQ	1192	432	8	20	2	730	324	0	0	0
bcBICL	1192	302	4	34	2	850	255	0	0	0
bcBKJJ	1185	28	2	11	0	1144	26	0	0	0
bcBIZF	1185	20	0	5	0	1160	17	0	0	0
bcAAMW	1184	160	3	15	3	1003	121	0	0	0
bcBNDA	1182	349	4	51	1	777	273	0	0	0
bcAOPH	1177	427	6	18	0	726	304	0	0	0
bcAPIO	1172	117	0	22	2	1031	90	0	0	0
bcASRB	1172	373	1	55	1	742	289	0	0	0
bcBYYQ	1172	39	0	7	0	1126	33	0	0	0
bcBMZM	1170	370	7	54	3	736	288	0	0	0
bcABTV	1170	384	3	55	1	727	308	0	0	0
bcAICE	1170	374	4	50	3	739	331	0	0	0
bcBUNG	1164	192	4	30	2	936	160	0	0	0
bcBOQL	1162	123	3	34	1	1001	116	0	0	0
bcALDE	1161	390	8	53	3	707	331	0	0	0
bcBWMZ	1153	13	0	5	0	1135	13	0	0	0
bcAKIJ	1144	465	5	41	2	631	392	0	0	0
bcBAXI	1141	396	1	81	2	661	307	0	0	0
bcBPJZ	1140	382	5	57	4	692	307	0	0	0
bcBPSF	1139	374	1	73	4	687	289	0	0	0
bcBXMH	1139	21	2	6	0	1110	19	0	0	0
bcBEWL	1139	327	5	50	0	757	287	0	0	0
bcAXYB	1137	36	2	4	0	1095	27	0	0	0
bcBZOD	1137	354	7	30	3	743	291	0	0	0
bcAWSR	1136	21	2	2	0	1111	19	0	0	0
bcAOMU	1134	335	4	50	0	745	261	0	0	0
bcAFSH	1132	192	1	20	6	913	166	0	0	0
bcAKWA	1129	339	5	59	1	725	269	0	0	0
bcBJGY	1122	383	5	43	1	690	317	0	0	0
bcBQKS	1122	382	7	27	1	705	274	0	0	0
bcBQJO	1118	330	5	48	4	731	280	0	0	0
bcBZHM	1116	25	1	6	1	1083	23	0	0	0
bcASOM	1113	354	7	58	4	690	272	0	0	0
bcAWMR	1112	418	2	31	0	661	314	0	0	0
bcACRK	1112	352	6	53	3	698	301	0	0	0
bcAHUI	1111	352	3	41	2	713	282	0	0	0
bcBOEX	1108	381	4	22	1	700	286	0	0	0
bcBXYA	1107	22	2	1	0	1082	21	0	0	0
bcBWGX	1104	278	1	23	0	802	214	0	0	0
bcBYIH	1103	305	5	43	3	747	251	0	0	0
bcBUJK	1101	381	7	61	6	646	328	0	0	0
bcAZNS	1101	18	1	4	0	1078	18	0	0	0
bcAWPX	1097	327	5	62	0	703	249	0	0	0
bcAGIJ	1096	102	3	6	0	985	79	0	0	0
bcBAJQ	1091	319	10	70	1	691	268	0	0	0
bcACPO	1089	375	5	23	1	685	258	0	0	0
bcBBTI	1087	306	6	43	1	731	254	0	0	0
bcBDDH	1087	112	3	27	2	943	89	0	0	0
bcBVLW	1085	349	8	58	2	668	291	0	0	0
bcBLIA	1084	404	4	29	4	643	346	0	0	0
bcBCGA	1083	228	5	46	1	803	202	0	0	0
bcBXJJ	1081	458	3	34	1	585	317	0	0	0
bcBEKD	1079	17	2	6	0	1054	19	0	0	0
bcBNGQ	1078	317	3	56	2	700	253	0	0	0
bcBUMM	1077	358	5	56	7	651	292	0	0	0
bcALNP	1077	353	3	48	1	672	298	0	0	0
bcAOSV	1076	320	2	39	1	714	268	0	0	0
bcANDO	1072	324	8	44	3	693	269	0	0	0
bcBKGS	1072	291	8	50	1	722	248	0	0	0
bcAIRT	1067	305	0	19	1	742	234	0	0	0
bcARWS	1068	329	7	35	4	693	244	0	0	0
bcBBOS	1065	382	4	50	1	628	311	0	0	0
bcBNJF	1063	313	3	53	0	694	256	0	0	0
bcBAGC	1060	177	6	23	2	852	149	0	0	0
bcBLLL	1053	454	5	17	1	576	341	0	0	0
bcBAFV	1051	318	8	51	3	671	259	0	0	0
bcAAYB	1049	375	6	31	0	637	294	0	0	0
bcBKHL	1048	370	6	21	4	647	241	0	0	0
bcAOCL	1045	321	2	32	2	688	261	0	0	0
bcAKGK	1034	324	5	15	4	686	244	0	0	0
bcAPQX	1034	357	1	39	1	636	281	0	0	0
bcBDWC	1031	329	1	58	3	640	250	0	0	0
bcAZJK	1029	212	2	21	0	794	181	0	0	0
bcBPND	1027	327	10	62	0	628	261	0	0	0
bcAGIK	1023	321	7	31	1	663	274	0	0	0
bcCADV	1022	409	4	38	1	570	308	0	0	0
bcBCNW	1021	84	2	26	0	909	70	0	0	0
bcAPMO	1019	351	6	70	4	588	272	0	0	0
bcBSTH	1014	304	7	42	5	656	246	0	0	0
bcBXLW	1010	349	2	33	5	621	287	0	0	0
bcBROO	1009	261	3	13	3	729	199	0	0	0
bcBIKU	1008	170	1	28	1	808	138	0	0	0
bcASXR	1005	391	7	25	0	582	309	0	0	0
bcBJBF	1000	294	2	51	3	650	239	0	0	0
bcALJY	997	357	5	21	4	610	268	0	0	0
bcARCR	997	343	7	35	3	609	256	0	0	0
bcADTQ	993	332	2	42	2	615	276	0	0	0
bcBIRM	989	186	10	22	1	770	157	0	0	0
bcAXJG	986	343	5	34	0	604	280	0	0	0
bcBDSH	982	242	3	33	2	702	205	0	0	0
bcACSM	981	10	0	3	0	968	9	0	0	0
bcBMUU	980	13	1	0	0	966	12	0	0	0
bcABWE	980	337	12	45	1	585	259	0	0	0
bcAXZM	980	369	2	44	1	564	275	0	0	0
bcBDIB	978	310	5	20	5	638	260	0	0	0
bcBKDK	978	306	3	46	3	620	245	0	0	0
bcAOCI	977	371	1	37	3	565	263	0	0	0
bcAFQK	975	367	3	52	4	549	287	0	0	0
bcAJAW	974	219	1	38	1	715	183	0	0	0
bcASRH	974	330	6	41	2	595	252	0	0	0
bcBIFS	973	277	6	44	0	646	229	0	0	0
bcAURE	972	329	2	26	2	613	255	0	0	0
bcBNFF	969	319	2	35	2	611	256	0	0	0
bcASWF	968	272	4	29	4	659	212	0	0	0
bcASMH	968	273	2	44	2	647	220	0	0	0
bcBDYZ	968	267	4	46	1	650	214	0	0	0
bcBILE	968	344	4	27	1	592	267	0	0	0
bcATIT	966	287	8	44	1	626	226	0	0	0
bcBXLG	963	270	7	10	3	673	234	0	0	0
bcAHXM	963	126	2	25	0	810	102	0	0	0
bcATSB	963	338	9	23	2	591	258	0	0	0
bcAUKP	960	82	3	7	0	868	64	0	0	0
bcBTFW	960	316	3	54	3	584	240	0	0	0
bcBIFR	960	271	6	43	0	640	223	0	0	0
bcAKUZ	956	292	4	43	0	617	219	0	0	0
bcAUTK	956	29	1	3	1	922	25	0	0	0
bcAGBO	955	245	8	36	0	666	205	0	0	0
bcABSL	953	291	10	43	2	607	241	0	0	0
bcAOQM	952	330	2	21	3	596	259	0	0	0
bcARZX	952	112	6	12	0	822	92	0	0	0
bcAXKE	950	299	5	22	3	621	254	0	0	0
bcAOTN	950	330	2	17	1	600	241	0	0	0
bcAEQP	949	293	8	41	0	607	244	0	0	0
bcABZP	949	244	3	40	1	661	187	0	0	0
bcACUU	948	319	1	54	3	571	251	0	0	0
bcBGZF	946	279	1	20	0	646	221	0	0	0
bcBJPN	945	356	2	31	1	555	278	0	0	0
bcBMUB	943	291	2	62	3	585	242	0	0	0
bcAJBS	943	264	7	43	2	627	230	0	0	0
bcAZRI	943	206	2	34	1	700	174	0	0	0
bcBFUL	941	95	1	11	0	834	80	0	0	0
bcARQC	940	296	2	49	3	590	251	0	0	0
bcBUKF	935	275	3	42	2	613	221	0	0	0
bcAMPC	935	176	7	21	3	728	154	0	0	0
bcBZLZ	933	247	2	14	1	669	190	0	0	0
bcAONI	933	291	8	57	2	575	231	0	0	0
bcAYGF	932	115	2	14	0	801	92	0	0	0
bcBQXG	931	342	6	32	5	546	273	0	0	0
bcBYQL	930	14	2	2	1	911	14	0	0	0
bcBLZK	931	322	5	30	3	571	253	0	0	0
bcBUME	925	279	2	39	1	604	230	0	0	0
bcADTG	923	140	4	24	0	755	119	0	0	0
bcAHFB	920	300	4	41	4	571	251	0	0	0
bcBPOP	919	260	3	30	3	623	197	0	0	0
bcAIXE	920	297	6	40	3	574	246	0	0	0
bcBYNI	918	259	1	47	2	609	213	0	0	0
bcAHHQ	917	228	4	34	1	650	193	0	0	0
bcBFTP	917	149	2	26	1	739	138	0	0	0
bcAHKC	916	288	4	49	0	575	230	0	0	0
bcAPST	916	290	0	50	2	574	242	0	0	0
bcARLM	916	374	0	24	1	517	259	0	0	0
bcBYWL	914	245	2	56	2	609	200	0	0	0
bcBEGT	913	211	2	40	1	659	169	0	0	0
bcBAEJ	911	305	19	43	1	543	244	0	0	0
bcBYET	908	234	2	41	0	631	186	0	0	0
bcAIIW	907	295	1	33	0	578	245	0	0	0
bcBPQB	907	266	2	50	1	588	203	0	0	0
bcBIIK	907	154	0	23	2	728	122	0	0	0
