Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcBUTF	5249	145	13	28	0	5063	131	0	0	0
bcASRT	4928	2024	16	191	10	2687	1604	0	0	0
bcCAQA	4150	115	9	25	0	4001	113	0	0	0
bcBMZS	4067	284	9	58	2	3714	228	0	0	0
bcAYYS	3862	85	4	23	1	3749	83	0	0	0
bcAUGA	3833	351	14	80	2	3386	294	0	0	0
bcAJFA	3715	175	5	28	1	3506	160	0	0	0
bcBAJI	3642	159	8	34	0	3441	138	0	0	0
bcAUQC	3599	62	6	17	0	3514	64	0	0	0
bcBLEK	3546	92	4	20	0	3430	81	0	0	0
bcBRQZ	3542	67	3	24	2	3446	66	0	0	0
bcBAFX	3496	274	7	58	3	3154	226	0	0	0
bcBVTM	3479	158	5	19	2	3295	138	0	0	0
bcALCG	3384	22	7	7	0	3348	27	0	0	0
bcBGKA	3340	55	4	12	0	3269	55	0	0	0
bcBNDV	3295	118	7	18	1	3151	108	0	0	0
bcAIAH	3288	58	4	10	0	3216	54	0	0	0
bcAYNH	3287	34	6	12	1	3234	37	0	0	0
bcAAXS	3257	277	6	68	0	2906	245	0	0	0
bcAJCR	3199	37	2	10	0	3150	35	0	0	0
bcABYI	3198	82	4	18	1	3093	66	0	0	0
bcACJU	3156	815	10	40	5	2286	594	0	0	0
bcAVJO	3138	89	7	20	0	3022	90	0	0	0
bcAPGC	3137	99	3	30	0	3005	91	0	0	0
bcAWNI	3116	456	16	41	5	2598	349	0	0	0
bcAHRQ	3099	178	4	27	2	2888	162	0	0	0
bcBTUP	3091	212	3	30	1	2845	169	0	0	0
bcBVTW	3076	57	7	19	0	2993	59	0	0	0
bcAKDT	3064	116	3	16	2	2927	102	0	0	0
bcAUQB	3052	176	6	22	0	2848	163	0	0	0
bcARTV	3031	65	4	10	1	2951	62	0	0	0
bcABRT	3028	66	7	16	1	2938	69	0	0	0
bcBDYJ	3004	67	4	11	0	2922	65	0	0	0
bcANYW	2989	94	0	28	0	2867	82	0	0	0
bcBNFJ	2956	67	6	15	1	2867	70	0	0	0
bcAVLV	2954	287	3	37	0	2627	239	0	0	0
bcBSHZ	2945	322	7	45	3	2568	247	0	0	0
bcBAEE	2938	197	7	31	2	2701	159	0	0	0
bcAVGS	2914	100	4	22	0	2788	83	0	0	0
bcBQXL	2909	40	2	10	0	2857	41	0	0	0
bcBMKR	2854	177	3	29	0	2645	144	0	0	0
bcAHZZ	2843	26	2	17	0	2798	25	0	0	0
bcBSBD	2835	110	6	20	0	2699	91	0	0	0
bcACUX	2785	1058	14	80	5	1628	818	0	0	0
bcBPKK	2782	43	6	9	0	2724	47	0	0	0
bcAYTT	2750	599	13	41	6	2091	464	0	0	0
bcBVYO	2726	863	12	81	5	1765	703	0	0	0
bcAOOW	2664	183	6	19	2	2454	145	0	0	0
bcBTPG	2663	192	2	26	1	2442	154	0	0	0
bcBNHU	2655	134	5	28	1	2487	121	0	0	0
bcBKEZ	2653	47	4	19	1	2582	50	0	0	0
bcAYYE	2623	96	4	15	0	2508	80	0	0	0
bcAONK	2612	832	18	70	9	1683	660	0	0	0
bcAGDO	2580	51	4	8	0	2517	51	0	0	0
bcBQQO	2579	101	1	17	1	2459	84	0	0	0
bcBNBK	2537	58	3	6	0	2470	51	0	0	0
bcBTTN	2528	817	7	78	5	1621	645	0	0	0
bcBBXJ	2516	930	6	65	6	1509	716	0	0	0
bcAFXY	2507	965	7	64	2	1469	797	0	0	0
bcAEWV	2505	817	11	68	5	1604	664	0	0	0
bcBWTB	2494	61	0	9	0	2424	53	0	0	0
bcAHNS	2471	33	2	9	0	2427	32	0	0	0
bcAWOE	2456	67	2	8	1	2378	59	0	0	0
bcAEEY	2454	1025	15	101	3	1310	828	0	0	0
bcBQJB	2445	58	7	14	0	2366	59	0	0	0
bcASSA	2427	473	3	41	1	1909	348	0	0	0
bcAICX	2418	725	11	125	3	1554	611	0	0	0
bcBARN	2415	523	7	31	6	1848	418	0	0	0
bcAZTH	2407	320	1	22	0	2064	240	0	0	0
