Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcARCJ	822	88	1	6	1	726	76	0	0	0
bcBDXW	820	231	1	5	0	583	176	0	0	0
bcBEFY	820	119	1	7	0	693	93	0	0	0
bcATIM	820	92	3	5	2	718	77	0	0	0
bcBSGF	818	92	2	6	0	718	70	0	0	0
bcBUNF	817	190	3	1	0	623	139	0	0	0
bcBLCL	817	58	1	7	0	751	42	0	0	0
bcADPC	817	145	4	4	0	664	112	0	0	0
bcAFOL	816	98	2	7	0	709	85	0	0	0
bcANRY	813	87	0	8	0	718	72	0	0	0
bcBPZQ	813	350	4	20	0	439	272	0	0	0
bcAPSQ	811	253	1	3	0	554	161	0	0	0
bcAPRY	810	116	1	5	0	688	90	0	0	0
bcBDQM	810	104	3	11	0	692	88	0	0	0
bcBUTM	809	131	2	10	0	666	109	0	0	0
bcBQJF	808	115	2	2	0	689	88	0	0	0
bcBNIC	808	340	3	22	1	442	268	0	0	0
bcATOM	807	121	4	6	0	676	100	0	0	0
bcASSC	806	88	5	5	0	708	73	0	0	0
bcBSQQ	805	105	5	4	1	690	95	0	0	0
bcAQGP	805	112	0	2	0	691	83	0	0	0
bcBTZI	804	111	3	7	0	683	95	0	0	0
bcAOOE	804	117	3	6	1	677	103	0	0	0
bcCAGB	802	23	2	4	0	773	22	0	0	0
bcBYCD	802	98	2	4	0	698	89	0	0	0
bcBQQI	802	96	0	1	1	704	76	0	0	0
bcAJTM	802	260	4	3	0	535	154	0	0	0
bcAZVO	802	103	2	10	0	687	80	0	0	0
bcBVGX	802	181	5	8	0	608	143	0	0	0
bcAXIE	800	84	1	6	0	709	78	0	0	0
bcBHBZ	800	28	1	1	0	770	28	0	0	0
bcBNBH	799	122	3	1	0	673	93	0	0	0
bcBPVV	798	369	4	6	0	419	272	0	0	0
bcBOWJ	797	135	1	7	0	654	109	0	0	0
bcAPRO	794	96	1	3	0	694	74	0	0	0
bcAJOC	794	129	1	5	0	659	98	0	0	0
bcAISO	793	83	1	7	0	702	71	0	0	0
bcAEQW	793	46	0	9	0	738	41	0	0	0
bcAHOJ	792	119	5	7	0	661	98	0	0	0
bcAORT	791	102	1	7	1	680	88	0	0	0
bcAYTB	792	100	3	7	1	681	84	0	0	0
bcAXIO	787	154	3	6	0	624	118	0	0	0
bcAOSZ	786	69	3	3	0	711	54	0	0	0
bcAWZJ	786	120	3	5	0	658	84	0	0	0
bcACQZ	786	87	0	3	0	696	72	0	0	0
bcAMJS	785	94	2	7	0	682	76	0	0	0
bcBLBM	785	306	2	12	1	464	236	0	0	0
bcABPM	784	43	3	2	1	735	37	0	0	0
bcBOBW	784	78	2	2	0	702	65	0	0	0
bcBULO	783	266	4	11	0	502	214	0	0	0
bcAZRB	781	73	3	5	0	700	61	0	0	0
bcBPMR	781	88	1	6	1	685	72	0	0	0
bcADHG	780	139	1	7	1	632	94	0	0	0
bcAOQS	778	63	3	1	0	711	52	0	0	0
bcBAIE	777	110	2	5	0	660	86	0	0	0
bcASMZ	776	89	1	10	1	675	64	0	0	0
bcAVHZ	776	89	1	4	0	682	69	0	0	0
bcBQKI	775	104	2	8	0	661	84	0	0	0
bcAVJP	774	89	0	2	0	683	69	0	0	0
bcADLX	774	77	2	11	0	684	69	0	0	0
bcARVM	774	124	0	3	0	647	88	0	0	0
bcBSMF	774	144	4	7	1	618	110	0	0	0
bcARVV	772	65	0	8	0	699	55	0	0	0
bcAXPX	773	101	5	4	1	662	85	0	0	0
bcALLV	771	110	1	7	1	652	93	0	0	0
bcACQD	770	93	0	2	0	675	68	0	0	0
bcAHDQ	770	99	1	5	0	665	82	0	0	0
bcAJZS	770	101	4	5	1	659	84	0	0	0
bcAOZR	769	285	8	14	1	461	225	0	0	0
bcBVBK	769	85	2	6	0	676	64	0	0	0
bcARAY	769	251	2	18	0	498	194	0	0	0
bcAJON	768	102	1	5	0	660	76	0	0	0
bcBUJM	767	99	1	10	0	657	75	0	0	0
bcBWHC	766	16	2	1	0	747	17	0	0	0
bcATUK	765	137	3	4	0	621	94	0	0	0
bcALRO	764	105	2	6	0	651	87	0	0	0
bcAOPO	763	105	1	3	0	654	90	0	0	0
bcADZT	762	81	0	2	0	679	59	0	0	0
bcBUOL	762	108	0	13	0	641	80	0	0	0
bcAJNV	761	83	1	3	0	674	63	0	0	0
bcAWRU	760	40	2	6	0	712	36	0	0	0
bcASLW	760	17	4	3	0	736	17	0	0	0
bcBDKZ	760	100	2	8	0	650	93	0	0	0
bcALYT	760	69	4	2	1	684	56	0	0	0
bcBRFC	759	71	1	9	0	678	51	0	0	0
bcBXET	759	89	3	8	1	658	75	0	0	0
bcBYRE	759	145	2	7	0	605	95	0	0	0
bcBSJG	759	106	3	6	1	643	92	0	0	0
bcBVKX	757	45	2	1	0	709	40	0	0	0
bcBSQE	757	100	2	4	0	651	83	0	0	0
bcCASR	756	82	4	8	0	662	67	0	0	0
bcALRK	755	330	4	5	1	415	235	0	0	0
bcBMAN	754	204	1	8	0	541	170	0	0	0
bcBGPG	754	116	1	11	0	626	103	0	0	0
bcBKGL	753	107	1	12	1	632	88	0	0	0
bcAEGA	752	112	2	5	0	633	88	0	0	0
bcAORO	751	102	1	7	0	641	76	0	0	0
bcAZBQ	751	16	0	2	0	733	14	0	0	0
